ID,Name,Glottocode,Glottolog_Name
Bena,"Bena",bena1262,
Bende,"Bende",bend1258,
Bondei1,"Bondei1",bond1247,
Bondei2,"Bondei2",bond1247,
Bungu,"Bungu",bung1265,
Chuka,"Chuka",chuk1274,
Dawida,"Dawida",tait1250,
Doe,"Doe",doee1238,
Embu,"Embu",embu1241,
Fipa,"Fipa",fipa1238,
Gusii,"Gusii",gusi1247,
Gweno,"Gweno",gwen1239,
Gweno1,"Gweno1",gwen1239,
Gwere,"Gwere",gwer1238,
Hangaza,"Hangaza",hang1260,
Haya,"Haya",haya1250,
Hehe,"Hehe",hehe1240,
Ikizu,"Ikizu",ikiz1238,
Jita,"Jita",jita1239,
Kaheunn,"Kahe.unn",kahe1238,
KambaKitu,"Kamba_kitu",kamb1297,
KambaMach,"Kamba_mach",masa1295,
Kami,"Kami",kami1256,
Keniunn,"Keni.unn",keni1245,
Kerebe,"Kerebe",kere1283,
Kibosho,"Kibosho",bosh1240,
Kiboshounn,"Kibosho.unn",bosh1240,
Kiha,"Kiha",haaa1252,
Kikuyu,"Kikuyu",kiku1240,
Kilegi,"Kilegi",kara1481,
Kimbu,"Kimbu",kimb1242,
Kimochiunn,"Kimochi.unn",moch1256,
Kinga,"Kinga",nucl1379,
Kiseri,"Kiseri",usse1238,
Kiseriunn,"Kiseri.unn",usse1238,
Kisi,"Kisi",kisi1243,
Kivinza,"Kivinza",vinz1238,
KuriaMago,"Kuria_mago",kuri1259,
KuriaTari,"Kuria_tari",kuri1259,
Kutu,"Kutu",kutu1263,
Kwere,"Kwere",kwer1261,
Lambya,"Lambya",lamb1272,
Langi,"Langi",lang1320,
Lemaunn,"Lema.unn",lema1242,
Luganda,"Luganda",gand1255,
Luguru,"Luguru",lugu1238,
Luhyia,"Luhyia",saam1283,
Lvhyia,"Lvhyia",saam1283,
Lumasaaba,"Lumasaaba",masa1299,
Lungwa,"Lungwa",rung1255,
Lusoga,"Lusoga",soga1242,
Mabia,"Mabia",mako1251,
Machame,"Machame",mach1266,
Machameunn,"Machame.unn",mach1266,
Makonde,"Makonde",mako1251,
Malila,"Malila",mali1279,
Mambaunn,"Mamba.unn",mamb1298,
Mambwe,"Mambwe",mamb1297,
Manda,"Manda",mand1423,
Maragoli,"Maragoli",logo1258,
Matengo,"Matengo",mate1258,
Matumbi,"Matumbi",matu1259,
Mbunga,"Mbunga",mbun1248,
Kimbunga,"Kimbunga",mbun1248,
Meru,"Meru",meru1245,
Meruimenti,"Meruimenti",imen1238,
Merutig,"Merutig",tiga1244,
Mkuu,"Mkuu",mkuu1238,
Mkwaya,"Mkwaya",kway1241,
Mpoto,"Mpoto",mpot1240,
Munyarwand,"Munyarwand",,
Mwera,"Mwera",mwer1248,
Mwera1,"Mwera1",mwer1248,
Namwanga,"Namwanga",nyam1275,
Nata,"Nata",ikom1245,
Ndali,"Ndali",ndal1241,
Ndamba,"Ndamba",ndam1239,
Ndari,"Ndari",ndal1241,
Ndengeleko,"Ndengeleko",nden1248,
Ngindo,"Ngindo",ngin1244,
Ngoni,"Ngoni",ngon1269,
Ngoreme,"Ngoreme",ngur1263,
Nguungulu,"Nguungulu",ngul1246,
NorthPare,"North_Pare",asut1235,
NPare,"N_pare",asut1235,
Ntuzu,"Ntuzu",suku1261,
Nyakyusa,"Nyakyusa",nyak1261,
Nyamwezi,"Nyamwezi",nyam1276,
Nyaturucha,"Nyaturucha",chah1242,
Nyaturuwil,"Nyaturuwil",nyat1246,
Nyiha,"Nyiha",nyih1240,
Nyiramba,"Nyiramba",nila1242,
Pangwa,"Pangwa",pang1287,
Pimbwe,"Pimbwe",pimb1238,
Pogoro,"Pogoro",pogo1243,
Kipogoro,"Kipogoro",pogo1243,
ProtoBantu,"Proto-Bantu",narr1281,
Rufiji,"Rufiji",nden1248,
Rukiga,"Rukiga",chig1238,
Rundi,"Rundi",rund1242,
Rungu,"Rungu",narr1281,
Rungwa,"Rungwa",rung1255,
Runyambo,"Runyambo",nyam1277,
Runyankore,"Runyankore",nyan1307,
Runyoro,"Runyoro",nyor1246,
Rutooro,"Rutooro",toor1238,
Safwa,"Safwa",safw1238,
Sambaa,"Sambaa",sham1280,
Samialugwe,"Samialugwe",saam1283,
Sangu,"Sangu",sang1330,
ShashiSiz,"Shashi_siz",ikiz1238,
Shubi,"Shubi",shub1238,
Siha,"Siha",siha1242,
Sihaunn,"Siha.unn",siha1242,
Sonjo,"Sonjo",temi1247,
SouthPare,"South_Pare",asut1235,
SPare,"S_pare",asut1235,
Suba,"Suba",suba1238,
Sukuma,"Sukuma",suku1261,
Sumbwa,"Sumbwa",sumb1240,
Tharaka,"Tharaka",thar1283,
Tuveta,"Tuveta",tave1240,
Vunjo,"Vunjo",vunj1238,
Wanda,"Wanda",wand1264,
Wanji,"Wanji",vwan1235,
Wungu,"Wungu",bung1265,
Yao,"Yao",yaoo1241,
Zanaki,"Zanaki",zana1238,
Zaramo,"Zaramo",zara1247,
Zigua,"Zigua",zigu1242,
Zinza,"Zinza",zinz1238,
