ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
Bena,Bena,bena1262,,bez,Africa,-9.26671,35.0364,Atlantic-Congo
Bende,Bende,bend1258,,bdp,Africa,-6.22082,30.5926,Atlantic-Congo
Bondei1,Bondei1,bond1247,,bou,Africa,-5.10749,38.5079,Atlantic-Congo
Bondei2,Bondei2,bond1247,,bou,Africa,-5.10749,38.5079,Atlantic-Congo
Bungu,Bungu,bung1265,,wun,Africa,-8.32587,32.8801,Atlantic-Congo
Chuka,Chuka,chuk1274,,cuh,Africa,-0.27405,37.6116,Atlantic-Congo
Dawida,Dawida,tait1250,,dav,Africa,-3.79347,38.57254,Atlantic-Congo
Doe,Doe,doee1238,,doe,Africa,-6.25844,38.4902,Atlantic-Congo
Embu,Embu,embu1241,,ebu,Africa,-0.62822,37.5933,Atlantic-Congo
Fipa,Fipa,fipa1238,,fip,Africa,-7.88963,31.3442,Atlantic-Congo
Gusii,Gusii,gusi1247,,guz,Africa,-0.78872,34.76751,Atlantic-Congo
Gweno,Gweno,gwen1239,,gwe,Africa,-3.68407,37.6827,Atlantic-Congo
Gwere,Gwere,gwer1238,,gwr,Africa,1.11392,33.8227,Atlantic-Congo
Hangaza,Hangaza,hang1260,,han,Africa,-2.52347,30.7074,Atlantic-Congo
Haya,Haya,haya1250,,hay,Africa,-1.70878,31.4846,Atlantic-Congo
Hehe,Hehe,hehe1240,,heh,Africa,-7.71572,35.7255,Atlantic-Congo
Ikizu,Ikizu,ikiz1238,,ikz,Africa,-1.9915,34.3589,Atlantic-Congo
Jita,Jita,jita1239,,jit,Africa,-1.62681,33.9141,Atlantic-Congo
Kaheunn,Kahe.unn,kahe1238,,hka,Africa,-3.51412,37.5759,Atlantic-Congo
KambaKitu,Kamba_kitu,kamb1297,,kam,Africa,-1.60827,37.9532,Atlantic-Congo
KambaMach,Kamba_mach,masa1295,,,Africa,,,Atlantic-Congo
Kami,Kami,kami1256,,kcu,Africa,-6.71075,37.98,Atlantic-Congo
Keniunn,Keni.unn,keni1245,,,Africa,,,Atlantic-Congo
Kerebe,Kerebe,kere1283,,ked,Africa,-2.09315,33.5326,Atlantic-Congo
Kibosho,Kibosho,bosh1240,,,Africa,,,Atlantic-Congo
Kiboshounn,Kibosho.unn,bosh1240,,,Africa,,,Atlantic-Congo
Kiha,Kiha,haaa1252,,haq,Africa,-3.77873,30.4894,Atlantic-Congo
Kikuyu,Kikuyu,kiku1240,,kik,Africa,-0.29005,36.719,Atlantic-Congo
Kilegi,Kilegi,kara1481,,reg,Africa,-1.83511,33.0488,Atlantic-Congo
